id,event_id,minute,second,team_id,team_name,player_id,x,y,end_x,end_y,is_touch,is_shot,is_goal,type,outcome,period,name,shirt_no,position
2744769169,521,47,10,36,Leverkusen,369446,45.4,40.4,63.7,33.2,True,False,False,Pass,Successful,SecondHalf,Edmond Tapsoba,12,DC
2744769189,522,47,13,36,Leverkusen,394786,68.9,29.5,87.6,10.3,True,False,False,Pass,Successful,SecondHalf,Florian Wirtz,10,FW
2744769205,523,47,15,36,Leverkusen,392644,87.6,17.1,89.8,18.9,True,False,False,Pass,Unsuccessful,SecondHalf,Jeremie Frimpong,30,DMR
2744769211,434,47,15,26,Liverpool,301455,11.7,82.7,,,True,False,False,BallTouch,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744769219,524,47,16,36,Leverkusen,392644,96.8,20.0,,,False,False,False,CornerAwarded,Successful,SecondHalf,Jeremie Frimpong,30,DMR
2744769225,435,47,16,26,Liverpool,301455,3.2,80.0,,,False,False,False,CornerAwarded,Unsuccessful,SecondHalf,Kostas Tsimikas,21,DL
2744769615,525,47,56,36,Leverkusen,107252,99.5,0.5,100.0,60.8,True,False,False,Pass,Unsuccessful,SecondHalf,Álex Grimaldo,20,DML
2744769803,437,48,12,26,Liverpool,322176,5.0,50.1,14.7,74.1,True,False,False,Pass,Successful,SecondHalf,Caoimhín Kelleher,62,GK
2744769827,438,48,13,26,Liverpool,95408,15.4,75.9,25.2,85.6,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744769903,439,48,16,26,Liverpool,301455,27.5,85.7,19.5,66.7,True,False,False,Pass,Successful,SecondHalf,Kostas Tsimikas,21,DL
2744769933,440,48,24,26,Liverpool,95408,31.6,60.2,33.2,31.6,True,False,False,Pass,Successful,SecondHalf,Virgil van Dijk,4,DC
2744769957,441,48,27,26,Liverpool,345957,34.0,29.5,36.1,7.6,True,False,False,Pass,Successful,SecondHalf,Ibrahima Konaté,5,DC
2744769991,442,48,29,26,Liverpool,318871,36.5,4.1,47.1,5.5,True,False,False,Pass,Successful,SecondHalf,Trent Alexander-Arnold,66,DR
2744770003,527,48,31,36,Leverkusen,299684,50.8,88.9,,,False,False,False,Challenge,Unsuccessful,SecondHalf,Exequiel Palacios,25,MC
2744770061,443,48,31,26,Liverpool,355354,49.2,11.1,,,True,False,False,TakeOn,Successful,SecondHalf,Curtis Jones,17,MC
2744770063,444,48,36,26,Liverpool,355354,71.3,24.9,,,True,False,False,BallTouch,Unsuccessful,SecondHalf,Curtis Jones,17,MC
2744770085,529,48,38,36,Leverkusen,404832,36.1,81.4,,,False,False,False,BallRecovery,Successful,SecondHalf,Piero Hincapié,3,DC
2744770095,530,48,38,36,Leverkusen,404832,36.1,81.4,44.4,91.0,True,False,False,Pass,Successful,SecondHalf,Piero Hincapié,3,DC
2744770107,531,48,39,36,Leverkusen,107252,44.2,91.0,42.5,86.6,True,False,False,Pass,Unsuccessful,SecondHalf,Álex Grimaldo,20,DML
2744770129,445,48,39,26,Liverpool,318871,66.3,10.1,,,True,False,False,BlockedPass,Successful,SecondHalf,Trent Alexander-Arnold,66,DR
2744770135,446,48,41,26,Liverpool,318871,74.3,11.1,,,False,False,False,BallRecovery,Successful,SecondHalf,Trent Alexander-Arnold,66,DR
2744770151,447,48,41,26,Liverpool,318871,74.7,11.9,88.2,17.3,True,False,False,Pass,Successful,SecondHalf,Trent Alexander-Arnold,66,DR
2744770155,448,48,43,26,Liverpool,108226,87.8,19.2,,,True,False,False,TakeOn,Unsuccessful,SecondHalf,Mohamed Salah,11,FWR
2744770181,532,48,44,36,Leverkusen,404832,12.2,80.8,,,True,False,False,Tackle,Successful,SecondHalf,Piero Hincapié,3,DC
2744770211,533,48,46,36,Leverkusen,404832,11.8,83.0,14.2,92.5,True,False,False,Pass,Successful,SecondHalf,Piero Hincapié,3,DC
2744770217,534,48,47,36,Leverkusen,299684,10.2,91.0,,,False,False,False,BallRecovery,Successful,SecondHalf,Exequiel Palacios,25,MC
2744770233,535,48,49,36,Leverkusen,299684,10.2,91.0,23.3,83.5,True,False,False,Pass,Successful,SecondHalf,Exequiel Palacios,25,MC
